"Drug","Neuroticism","Extraversion","Openness","Agreeableness","Cscore","Usage","Education"
"Alcohol","28","20","17","18","25","CL5","Trade School"
"Amphet","28","20","17","18","25","CL2","Trade School"
"Amyl","28","20","17","18","25","CL0","Trade School"
"Benzos","28","20","17","18","25","CL2","Trade School"
"Caff","28","20","17","18","25","CL6","Trade School"
"Cannabis","28","20","17","18","25","CL0","Trade School"
"Choc","28","20","17","18","25","CL5","Trade School"
"Coke","28","20","17","18","25","CL0","Trade School"
"Crack","28","20","17","18","25","CL0","Trade School"
"Ecstasy","28","20","17","18","25","CL0","Trade School"
"Heroin","28","20","17","18","25","CL0","Trade School"
"Ketamine","28","20","17","18","25","CL0","Trade School"
"Legalh","28","20","17","18","25","CL0","Trade School"
"LSD","28","20","17","18","25","CL0","Trade School"
"Meth","28","20","17","18","25","CL0","Trade School"
"Mushrooms","28","20","17","18","25","CL0","Trade School"
"Nicotine","28","20","17","18","25","CL2","Trade School"
"Semer","28","20","17","18","25","CL0","Trade School"
"VSA","28","20","17","18","25","CL0","Trade School"
"Alcohol","18","36","30","29","24","CL5","PhD"
"Amphet","18","36","30","29","24","CL2","PhD"
"Amyl","18","36","30","29","24","CL2","PhD"
"Benzos","18","36","30","29","24","CL0","PhD"
"Caff","18","36","30","29","24","CL6","PhD"
"Cannabis","18","36","30","29","24","CL4","PhD"
"Choc","18","36","30","29","24","CL6","PhD"
"Coke","18","36","30","29","24","CL3","PhD"
"Crack","18","36","30","29","24","CL0","PhD"
"Ecstasy","18","36","30","29","24","CL4","PhD"
"Heroin","18","36","30","29","24","CL0","PhD"
"Ketamine","18","36","30","29","24","CL2","PhD"
"Legalh","18","36","30","29","24","CL0","PhD"
"LSD","18","36","30","29","24","CL2","PhD"
"Meth","18","36","30","29","24","CL3","PhD"
"Mushrooms","18","36","30","29","24","CL0","PhD"
"Nicotine","18","36","30","29","24","CL4","PhD"
"Semer","18","36","30","29","24","CL0","PhD"
"VSA","18","36","30","29","24","CL0","PhD"
"Alcohol","20","29","15","13","17","CL6","Trade School"
